date,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37
2016-01-22,-0.09284221,-0.46861663,0.71675223,0.45190254,-0.16778144,-0.113848224,-0.0030191897,-1.881159,0.56029993,-0.3707375,0.3546608,1.9174598,0.3622151,-4.563444,-1.2288244,-0.29120928,2.5507085,-0.42242697,-0.0069002016,-0.80530477,0.23937012,1.632732,0.5669206,-0.13828216,-0.9012425,0.44727504,0.36853552,-0.18009655,0.011822097,0.072303705,-0.5013207,0.0717827,0.2547224,0.9158292,-0.49690393,0.0015799562,-0.6440273
2016-01-25,-0.04675593,-0.31212553,0.19804974,0.66305697,-0.4205005,1.403402,-0.034114216,0.13744971,-0.6983976,-0.0541602,0.4979873,7.9430895,0.52997625,-3.94378,0.029648064,-0.28962937,2.5154922,0.40833163,0.11624424,-0.301082,0.47212976,0.9958993,0.42867714,0.13095564,-0.1885173,0.016305935,0.6294312,-0.35250366,-0.46079278,-1.04366,-1.0516624,-0.18640383,0.77074057,0.5699205,0.29468554,0.959108,0.08675035
2016-01-26,-0.52833825,0.73300517,-1.3055505,0.20604086,-0.03818607,0.47669968,-0.5188469,-0.15226044,0.06026858,-0.31210822,0.24754064,-2.408163,-0.6146919,-1.2124863,-0.7476567,-0.052211873,0.44276288,0.45291406,0.060525782,0.77225035,0.19706929,-0.3202456,1.1547318,0.063383356,0.2484715,0.82870615,-0.01580489,0.6250152,-0.9139137,-0.9133471,0.5229406,-0.24488883,-0.39068294,0.71845627,1.8199667,0.69720304,-1.0718218
2016-01-27,-0.6073793,-1.5879854,-1.8178966,-2.3806021,-2.7629387,-0.5582205,-1.0358886,0.92980313,-0.36578953,-0.75177664,-0.59696496,1.9362762,-0.09975409,-4.28045,-0.85659516,-1.1255391,3.250912,-1.9678706,-0.66099834,-1.4526975,1.8350462,0.013674502,-0.2211974,-2.1950994,-1.7700262,-1.0472437,-0.08784959,0.6525132,-0.66354924,-0.4158722,0.71208286,-0.59691924,-2.062617,-1.3262215,-1.0504389,-0.93324685,-0.25536174
2016-01-28,-1.1965635,-0.5754327,-1.9241978,-0.19197412,-0.7604315,0.10243605,-1.4446276,1.5565928,-0.9930823,-0.23802845,-0.37498632,-6.8785505,-1.0888708,-4.037568,0.41672257,-0.04123959,-0.97416204,-0.5021848,-0.7084674,-0.045113266,2.158189,-1.008071,-2.3563726,-0.4276215,-1.5434572,-2.721229,-1.8803624,0.6618429,1.5353154,-3.212495,-2.1899426,-2.080376,-1.9667667,-1.3166238,-2.4167776,-0.8362281,-0.45267704
2016-01-29,0.38908064,-0.21660553,0.90456694,-0.33456114,1.6809881,-1.3538778,0.096051514,1.0716441,0.47502974,0.3423218,-0.802137,2.3709354,-0.44307968,-2.5949402,-0.11498498,0.33560398,-1.6575016,-1.0182521,0.17775829,-1.0942463,-1.2133644,0.064380325,0.15362063,1.0560297,0.5678482,-0.6258967,0.2380218,-0.15704137,1.9024705,1.4152236,-1.3020649,-0.09534717,0.6728491,-0.28410724,-0.36100745,-0.09640291,0.51203424
2016-02-01,0.9009232,0.9430943,0.38233894,1.1101693,-0.03723341,1.9237152,0.76539934,1.852224,-0.053922817,0.99319696,0.5506065,6.1681213,1.7337121,-1.4427437,1.7134539,0.9505643,-2.6027539,1.0654916,0.5777119,0.71011525,-0.69970787,-0.35477176,1.5642667,1.3494761,2.487755,0.12831214,0.92578554,-0.48499018,0.65004796,0.8902666,-0.802883,0.59051406,0.4383516,0.5186745,1.5264925,0.43327805,0.9514819
2016-02-02,1.0643127,0.04382481,1.7172147,1.2922506,0.17966077,-0.00040530995,0.61703855,2.0939949,0.12642229,0.88345844,0.10011552,3.752607,1.2559474,-0.3832186,0.54341775,-0.13346583,-1.007276,-0.06497498,0.49244902,-0.7410359,-0.8040008,0.5508442,0.59949917,0.30911717,0.8982674,0.105326936,1.2481779,-0.6840357,0.21695408,2.5217829,0.15263763,0.8590019,1.2029405,1.0275321,0.07883206,0.32220054,0.37541044
2016-02-03,0.83549076,0.4722043,0.6876861,0.2885441,-0.46467444,-0.96334916,1.2650853,-0.21355446,0.76723564,1.7843802,0.64179087,0.55938226,1.7824218,-0.73783845,-0.039923068,0.17732945,-1.5752149,1.6939557,0.6630859,0.5181886,-0.7893907,0.38686082,0.8373089,1.100701,1.3997964,0.89745325,0.9714262,-0.7371355,-0.014445929,1.0168557,0.43891066,0.986466,1.4154133,0.8277203,1.4968644,0.5610021,-0.14763385
2016-02-04,-0.058924977,-0.40119377,0.42677343,0.6553582,4.127392,-0.34253177,0.8374881,0.9777794,-0.40741533,-0.98280406,0.34034178,-1.5860788,0.78859925,1.1534486,-0.6316169,-0.061376303,-0.55246615,-0.84376657,-0.09817351,-0.27403778,0.005205762,0.46476072,1.4792285,0.28132015,-0.090460904,0.20558372,-0.22094865,0.11523216,-0.28128165,0.1964506,-0.043179143,0.21523158,0.29294768,0.7545411,2.7649853,-0.20478895,0.10030089
2016-02-05,-0.36058968,0.7168204,-0.6340432,1.3360057,-2.0544877,0.42424715,-0.47273406,0.4149312,-0.47129825,-1.5081339,0.12590474,-1.0059186,-0.26034886,-1.5059102,0.06782948,0.04119142,0.556636,-0.16394274,-0.3389074,0.06612543,0.93830514,0.5675516,-0.07545726,-1.5905645,0.7407569,0.42271066,-0.62120897,0.8799244,-2.4699428,-1.628458,0.22693205,-0.5155502,0.1526039,-0.27433646,2.3596153,-0.52931726,-0.3240972
2016-02-15,0.63991344,0.62380916,0.46100515,-0.4653484,-1.429124,0.26427937,0.35221037,1.5765452,-0.41280758,0.077159084,0.83424014,6.2539372,1.7868327,-0.8604302,-0.013644676,-0.3882042,0.9767451,0.77089906,-0.15711667,-0.33882946,-0.36151814,0.17072,-0.027060268,-0.19015205,0.4103312,-0.08760124,1.361251,-0.4421,-0.6333385,1.0032977,0.19875088,0.1833406,1.2822145,-0.08455123,7.526569,0.5227028,-0.41137782
2016-02-16,0.16478024,-0.13060668,1.1956917,-0.516363,0.8314849,0.60992604,0.11791129,-0.34805307,-0.1597949,-0.08472421,-0.039527994,-1.6901143,-0.820657,1.1173005,0.08871977,-0.21926247,-0.5753317,0.43132353,0.0056434195,-0.32849985,-0.06486496,1.0295553,0.14853688,0.7695566,-0.49618846,-0.35724324,0.6158291,-0.17053182,0.689506,1.2679435,0.28941214,-0.009294659,0.51772493,-0.16444075,-2.355628,0.21644299,0.22040375
2016-02-17,0.4768651,-0.14121531,0.48570004,-0.72797793,-0.18267678,0.3293527,-0.16559832,-2.2773511,1.8321502,0.07436015,-0.19207916,-1.6258415,-1.1303679,2.7968698,-0.47363245,0.3579009,-0.13219644,-0.8139393,-0.02607327,-0.4928382,0.70693326,0.45116332,0.7406194,-0.12634104,-0.14703327,-0.720416,0.5356277,-0.4308296,-0.30797887,-0.09114229,0.9803785,-0.3820939,-0.16565093,-0.5483135,-1.9414493,0.8569053,0.35907096
2016-02-18,0.3123698,0.051910438,-0.60707223,-0.65404224,-0.1808851,0.38566074,0.17056249,-1.4517425,0.17133653,0.08584058,-0.21528555,0.9470717,-0.5398826,1.7673587,-0.9282295,-0.37788284,0.7255537,0.54053414,-0.039678704,0.1771838,-0.23609053,-0.70089394,-0.69835746,-0.062826306,0.44210392,0.6352153,-0.65803814,-0.119029686,0.14979981,-1.0370154,-1.3454363,0.06808401,-0.5998279,0.15581281,-0.958408,0.77831507,-0.76779544
2016-02-19,0.534311,-0.22736081,0.37629586,0.17177777,-0.012313681,0.24717464,0.4162133,0.27617076,0.25636968,-0.05271666,0.46886596,-1.0624934,-0.00893522,-0.5864315,0.042172834,1.2051853,-0.21622995,0.93253523,0.37248114,0.012589453,-0.37342834,-0.15109842,1.0411222,-0.35769495,1.0856669,0.3421729,1.0463399,-0.7453021,0.9517748,1.6173787,0.6890052,0.31670842,0.35597616,-0.20392455,-0.77819765,0.3070385,0.56393236
2016-02-22,-0.87344104,-1.673555,-1.1748333,-0.9254817,0.5485858,-1.2036997,-0.5850269,-2.3960977,-0.6064384,-0.30128857,-1.0341054,-2.247543,-1.122074,-0.4254775,-1.0480742,-0.91694987,1.3880088,-1.048672,-0.77308553,-1.0591407,-0.070007086,0.476477,-1.3005002,-0.85332716,-0.9658326,-1.3887063,-1.0797653,0.29641774,0.6379511,-1.7489346,-1.6338681,-1.2963959,-0.47307175,-0.4447386,-0.8118401,-0.07448856,-0.39467746
2016-02-23,0.15047121,0.1410883,0.07767734,0.37723187,-0.56738794,1.9445109,0.77356124,-0.9562241,0.21790826,-0.20203313,0.2749271,-1.7081683,-0.6497034,-0.6656927,-0.6952205,0.23664087,2.8441405,-0.1196875,-0.17011812,0.6291688,0.45553818,1.3613217,0.468956,-1.2234793,0.38478082,1.0356696,-0.087453164,-0.7964645,-0.5095881,-0.4843402,-0.3794952,0.0012762508,0.956447,1.0768415,3.4827666,0.47748056,-0.20142037
2016-02-24,-0.5337242,0.86751276,-2.132331,1.352571,0.18739508,0.23675656,-0.2829622,-1.699449,-0.2821151,-0.21377887,0.35146534,-1.4980745,-1.2343115,-1.2688469,-1.1359875,-0.55320525,-0.38238823,0.98629785,-1.1458269,0.9068663,-0.0089336345,-0.040170413,-0.50911516,-0.6513928,0.4820719,-0.58472383,-1.5623283,-0.4178893,-0.23827481,-2.6380124,0.38758898,-0.98954755,-0.5425553,-0.48670933,0.19207925,-0.96370125,-0.05207481
2016-02-25,-0.38567996,0.16230243,-1.2801931,-1.5100907,-0.69702506,-0.1558132,-0.7840326,-1.3321222,-0.4070363,-0.69013155,0.178964,-1.9348488,-0.88713396,-0.8205534,-0.4801525,5.7391796,0.68310213,1.1524152,-0.34050214,0.90421766,-0.26852447,-0.381289,-0.82427186,-0.87524486,-0.023719003,0.5297203,-0.57301605,0.8905025,-0.5094051,-0.9345786,-0.64504987,-0.834785,-0.030625012,-1.2381853,0.79906076,-0.9459728,-0.99915224
2016-02-26,-1.7192297,-0.3799314,-1.6625781,-1.2226914,-0.7280397,0.6665681,-1.1981504,-3.1876428,-1.1226187,-1.0434273,-1.6495934,-4.6958184,-2.9799838,-2.7560532,-0.14211681,2.2010663,3.8957052,0.2906992,-1.5646484,-0.27707806,1.2031817,1.5832977,-2.4497612,-2.3379169,-0.96487343,-1.1831077,-1.557915,0.6451088,-0.15194923,-3.3392954,-1.4914709,-1.7500148,-2.0188375,-2.0636613,0.77969027,-0.3108529,-0.41135186
2016-02-29,-3.7546015,-2.0238302,-4.3112063,-4.5618515,-2.812397,-0.098325215,-2.997638,-3.7980273,-0.7892744,0.57840085,-3.356251,-5.967534,-4.612607,-3.7559423,-2.1452458,-4.0283012,2.950813,-2.7570121,-3.2180593,-0.61602056,1.8604509,-0.7013502,-3.3945935,-3.7521462,-2.2779102,-1.8687431,-3.468129,2.247187,0.34743917,-5.1510572,-1.4738027,-2.2301931,-3.6977081,-3.0699809,0.46779722,-1.4803271,-0.42126852
2016-03-01,0.29908785,-0.9647624,0.2986742,-0.56083506,0.21687162,0.2702547,0.38589182,-1.0472196,0.2852342,1.2947125,-0.10391396,0.72650427,-0.45898297,2.2765286,0.4579655,1.917256,-0.02264784,-0.5889892,0.35251483,-0.67285436,-0.15970425,0.6094741,0.19190575,0.9857259,0.38139978,-0.6328843,0.26917532,-0.8352775,2.151761,0.28560334,0.59323865,-0.031333134,0.025927873,-0.5204299,3.152312,0.6570768,0.14846545
2016-03-02,-0.1769152,-0.33764747,0.02996787,0.31785703,-0.5273337,-1.2852918,0.1674551,0.4977756,0.43912026,2.2123334,-0.60730654,-1.1313465,-0.49151313,0.64455485,0.40737113,-1.3374364,0.46712866,-0.47996104,-0.09762078,-1.1110501,-0.19821037,-0.05502952,-0.12748994,-0.6166864,0.21190757,0.2977792,-0.5524293,-0.4678322,0.6261316,-0.8264353,-0.5907118,-0.85406756,0.15216385,-0.21221685,-1.1838554,0.89584196,-0.3111484
